Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000133184, 0.000534208, 6.75757e+09, 1.68474e+09, 7, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 9.6832e-05, 0.00049504, 9.29445e+09, 1.81803e+09, 7, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 9.1648e-05, 0.000500544, 9.82018e+09, 1.79804e+09, 7, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000212864, 0.0006184, 4.22805e+09, 1.45537e+09, 7, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000116672, 0.000516256, 7.71393e+09, 1.74332e+09, 7, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000110912, 0.000509216, 8.11454e+09, 1.76742e+09, 7, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000166752, 0.000558464, 5.39724e+09, 1.61156e+09, 7, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.00014944, 0.000541312, 6.02248e+09, 1.66263e+09, 7, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000143872, 0.000542048, 6.25556e+09, 1.66037e+09, 7, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000266336, 0.000670592, 3.37919e+09, 1.3421e+09, 7, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000215488, 0.000628768, 4.17657e+09, 1.43137e+09, 7, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.0002096, 0.000614176, 4.29389e+09, 1.46538e+09, 7, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000266912, 0.000666656, 3.3719e+09, 1.35002e+09, 7, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000415296, 0.00081344, 2.16713e+09, 1.10641e+09, 7, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000409088, 0.00080656, 2.20002e+09, 1.11585e+09, 7, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000542112, 0.000943872, 1.66017e+09, 9.53519e+08, 7, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000136928, 0.00053152, 6.5728e+09, 1.69326e+09, 3, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000130848, 0.000544256, 6.87821e+09, 1.65363e+09, 3, 1024, Complete
