Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 21000000, 0.0496662, 0.0690227, 0.118689, 4.22823e+008, 1.76933e+008, 32767, 32, Complete
NVS 5400M, 21000000, 0.0593618, 0.0687313, 0.128093, 3.53763e+008, 1.63943e+008, 32767, 16, Complete
NVS 5400M, 21000000, 0.0822481, 0.0688199, 0.151068, 2.55325e+008, 1.3901e+008, 32767, 8, Complete
NVS 5400M, 21000000, 0.12918, 0.0665195, 0.1957, 1.62563e+008, 1.07307e+008, 32767, 4, Complete
NVS 5400M, 21000000, 0.345004, 0.0687219, 0.413726, 6.08689e+007, 5.07583e+007, 16383, 1024, Complete
NVS 5400M, 21000000, 0.143096, 0.0689055, 0.212002, 1.46754e+008, 9.90558e+007, 16383, 512, Complete
NVS 5400M, 21000000, 0.0693953, 0.068841, 0.138236, 3.02614e+008, 1.51914e+008, 16383, 256, Complete
NVS 5400M, 21000000, 0.0356147, 0.0689492, 0.104564, 5.89644e+008, 2.00834e+008, 16383, 128, Complete
NVS 5400M, 21000000, 0.0270545, 0.0665801, 0.0936346, 7.7621e+008, 2.24276e+008, 16383, 64, Complete
NVS 5400M, 21000000, 0.0366096, 0.0688842, 0.105494, 5.7362e+008, 1.99064e+008, 16383, 32, Complete
NVS 5400M, 21000000, 0.0483107, 0.0687954, 0.117106, 4.34686e+008, 1.79325e+008, 16383, 16, Complete
NVS 5400M, 21000000, 0.0745561, 0.0704187, 0.144975, 2.81667e+008, 1.44853e+008, 16383, 8, Complete
NVS 5400M, 21000000, 0.146563, 0.0687081, 0.215272, 1.43283e+008, 9.75512e+007, 16383, 4, Complete
NVS 5400M, 21000000, 0.170195, 0.0686211, 0.238817, 1.23388e+008, 8.79336e+007, 8191, 1024, Complete
NVS 5400M, 21000000, 0.0719644, 0.0686753, 0.14064, 2.91811e+008, 1.49318e+008, 8191, 512, Complete
NVS 5400M, 21000000, 0.0363229, 0.0663595, 0.102682, 5.78148e+008, 2.04514e+008, 8191, 256, Complete
NVS 5400M, 21000000, 0.0199981, 0.0705109, 0.0905091, 1.0501e+009, 2.32021e+008, 8191, 128, Complete
NVS 5400M, 21000000, 0.019259, 0.0689061, 0.0881651, 1.0904e+009, 2.3819e+008, 8191, 64, Complete
NVS 5400M, 21000000, 0.0300665, 0.0709941, 0.101061, 6.98451e+008, 2.07796e+008, 8191, 32, Complete
NVS 5400M, 21000000, 0.0529205, 0.069741, 0.122662, 3.96822e+008, 1.71203e+008, 8191, 16, Complete
NVS 5400M, 21000000, 0.0997436, 0.0686872, 0.168431, 2.1054e+008, 1.2468e+008, 8191, 8, Complete
NVS 5400M, 21000000, 0.193455, 0.0670825, 0.260538, 1.08552e+008, 8.06025e+007, 8191, 4, Complete
NVS 5400M, 21000000, 0.0826412, 0.0698828, 0.152524, 2.54111e+008, 1.37683e+008, 4095, 1024, Complete
NVS 5400M, 21000000, 0.0363716, 0.0718214, 0.108193, 5.77373e+008, 1.94097e+008, 4095, 512, Complete
NVS 5400M, 21000000, 0.0197806, 0.0685602, 0.0883408, 1.06165e+009, 2.37716e+008, 4095, 256, Complete
NVS 5400M, 21000000, 0.0122922, 0.0696652, 0.0819574, 1.7084e+009, 2.56231e+008, 4095, 128, Complete
NVS 5400M, 21000000, 0.0153028, 0.0685222, 0.0838251, 1.37229e+009, 2.50522e+008, 4095, 64, Complete
NVS 5400M, 21000000, 0.0267824, 0.0684736, 0.0952561, 7.84096e+008, 2.20458e+008, 4095, 32, Complete
NVS 5400M, 21000000, 0.0500189, 0.0686417, 0.118661, 4.19841e+008, 1.76975e+008, 4095, 16, Complete
